"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          31,      -5.352524576,      -5.380948475,      -5.376410108,      -4.947332701,      -9.480919135,      -1.385623999,     0.05080287936,      0.1599679772,                 0,                 0,                 0,     0.05059611187,     0.05080287936,      0.1599679772,                 0,       3.148797454,    0.002394599513
          0,           0,          32,      -5.388588309,      -5.279691055,      -5.259660821,      -4.991380827,      -9.474867506,      -1.228627288,     0.04840597935,      0.1661552482,                 0,                 0,                 0,     0.05190014897,     0.04840597935,      0.1661552482,                 0,       3.432535617,    0.002394599513
          0,           0,          33,      -5.390778505,      -5.272978251,      -5.253582234,       -4.99868636,      -9.499239468,      -1.166366275,     0.04523412574,      0.1741629892,                 0,                 0,                 0,     0.05379702015,     0.04523412574,      0.1741629892,                 0,       3.850256557,    0.002394599513
          0,           0,          34,      -5.382840092,      -5.267831909,      -5.248989115,      -4.996483472,      -9.467549261,      -1.555197865,     0.04102972556,      0.1844627144,                 0,                 0,                 0,      0.0565058426,     0.04102972556,      0.1844627144,                 0,       4.495831057,    0.002394599513
          0,           0,          35,      -5.370779526,      -5.265962077,      -5.249465859,      -4.989873127,      -9.403448244,      -1.740782897,     0.03580771684,      0.1967656736,                 0,                 0,                 0,     0.06002173855,     0.03580771684,      0.1967656736,                 0,       5.495063381,    0.002394599513
          0,           0,          36,       -5.36041991,      -5.275159781,      -5.262615452,      -4.985351335,      -9.312654594,       -1.78150781,     0.02922271543,      0.2115843125,                 0,                 0,                 0,     0.06453357821,     0.02922271543,      0.2115843125,                 0,       7.240405602,    0.002394599513
          0,           0,          37,      -5.349441982,      -5.292427854,      -5.288870427,      -4.977928472,      -9.211605902,      -1.743879478,      0.0219192895,       0.227460288,                 0,                 0,                 0,     0.06967138111,      0.0219192895,       0.227460288,                 0,       10.37717432,    0.002394599513
          0,           0,          38,      -5.344717186,      -5.322179905,      -5.334962977,      -4.973667589,      -9.118197792,      -1.687863034,     0.01556488289,      0.2406689463,                 0,                 0,                 0,     0.07420555684,     0.01556488289,      0.2406689463,                 0,        15.4623037,    0.002394599513
          0,           0,          39,      -5.351129016,      -5.386890187,      -5.421222654,      -4.977882601,      -9.056320556,      -1.656381791,     0.01058192747,      0.2505127819,                 0,                 0,                 0,     0.07758384907,     0.01058192747,      0.2505127819,                 0,       23.67364383,    0.002394599513
          0,           0,          40,      -5.377800721,      -5.473727303,      -5.535887256,      -4.997812867,      -9.061916315,      -1.685825515,    0.009178510806,      0.2532038385,                 0,                 0,                 0,     0.07802989767,    0.009178510806,      0.2532038385,                 0,       27.58659262,    0.002394599513
